P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S03	S01	S19	0.179104	1.14834	0.250829	5.84551e-05	103823	39.5	27.5
S01	S04	S05	0.115892	1.87963	0.0601588	0.000239921	71986.3	201	159.25
S01	S04	S06	0.0754052	1.09589	0.273126	0.00015427	72040.6	190.75	164
S01	S04	S07	0.0720339	1.02948	0.303256	0.000147351	72004.8	189.75	164.25
S01	S04	S08	0.0766129	1.10714	0.268234	0.000165287	71905.8	200.25	171.75
S01	S04	S09	0.0610611	0.614086	0.539158	8.5051e-05	78705.3	132.5	117.25
S01	S04	S10	0.0609874	0.637498	0.5238	8.77263e-05	78730.3	137	121.25
S01	S04	S11	0.0743757	0.729833	0.465492	9.93054e-05	82921	123.688	106.562
S04	S01	S12	0.149105	1.45917	0.144518	0.00010172	100720	72.25	53.5
S04	S01	S13	0.109705	0.881401	0.378101	6.45402e-05	99984.1	65.75	52.75
S04	S01	S14	0.0826419	1.06815	0.285453	8.82328e-05	93890.9	101.938	86.375
S04	S01	S15	0.143469	1.05165	0.292961	8.34894e-05	99989.6	66.75	50
S04	S01	S16	0.114823	0.895415	0.370565	6.85348e-05	99958.8	66.75	53
S04	S01	S17	0.213235	1.38162	0.16709	7.08195e-05	103851	41.25	26.75
S04	S01	S18	0.195652	1.25316	0.210147	6.58821e-05	103835	41.25	27.75
S04	S01	S19	0.195652	1.25316	0.210147	6.57615e-05	103834	41.25	27.75
S06	S05	S01	0.0110713	0.537089	0.591206	0.000286553	23934	2260.25	2210.75
S07	S05	S01	0.0030426	0.156837	0.875374	7.81672e-05	23944.2	2225.25	2211.75
S05	S08	S01	0.0166488	1.02445	0.305623	0.000538529	19937.8	2839.5	2746.5
S01	S05	S09	0.00539747	0.409658	0.682056	0.000287221	11506	4796.5	4745
S01	S05	S10	0.0115093	0.903294	0.36637	0.000612692	11505.8	4833.75	4723.75
S01	S05	S11	0.00919064	0.577873	0.56335	0.000449049	15161.5	4251.56	4174.12
S05	S01	S12	0.217874	7.43063	1.08136e-13	0.00471963	31263.5	2442.75	1568.75
S05	S01	S13	0.270218	10.2155	2.3e-16	0.00555946	30737.8	2646.5	1520.5
S05	S01	S14	0.410514	21.81	2.3e-16	0.0149636	26565	4603.12	1923.75
S05	S01	S15	0.264244	10.1406	2.3e-16	0.00548917	30744.5	2648.75	1541.5
S05	S01	S16	0.267371	10.374	2.3e-16	0.00557899	30732.5	2667.5	1542
S05	S01	S17	0.0439963	1.49381	0.135225	0.000585791	33406.8	1423.75	1303.75
S05	S01	S18	0.0419875	1.4038	0.160377	0.000558502	33387.2	1420.75	1306.25
S05	S01	S19	0.0421477	1.41113	0.158207	0.000559914	33387.8	1421.75	1306.75
